Organization,Locality,State,Geographic Ring,Taxonomy Code,RFxchange Roles,Priority,LinkedIn Page,Page Followed,Employee/Follower Population,Target Titles,People Identified,Invites Sent,Follows Gained,Partnership Contact,Resource Verified,Opportunity Source,RFxchange Registrations,Notes
Isle of Wight County Economic Development,Isle of Wight County,VA,Core,EDO,Acquire; Resource; Amplify; Validate,P0,https://www.linkedin.com/company/isle-of-wight-county-economic-development,Yes,TBD — capture current LinkedIn count,President/CEO; Economic Development Director; Business Development Manager; BRE Manager; Small Business Manager; Partnerships/Marketing,0,0,0,,Not yet,Ecosystem / referral,0,"Home-market anchor. Identify leadership, BRE/business development, and small-business contacts first."
Isle of Wight Chamber of Commerce,Smithfield / Isle of Wight County,VA,Core,CHM,Acquire; Resource; Amplify,P0,https://www.linkedin.com/company/isle-of-wight-smithfield-chamber-of-commerce,Yes,TBD — capture current LinkedIn count,President/CEO; Membership Director; Programs Director; Business Development; Partnerships/Community Engagement,0,0,0,,Not yet,Ecosystem / referral,0,Primary local membership network. Prioritize membership and program leadership.
Isle of Wight County,Isle of Wight County,VA,Core,GOV-BUY,Supply; Validate,P0,https://www.linkedin.com/company/isle-of-wight-county,Yes,801 LinkedIn followers; 201–500 employees,Procurement Director; Purchasing Manager; Buyer; Contracting Officer; Supplier Diversity/SWaM; Finance/Operations,0,0,0,,Not applicable,Direct public-sector issuer,0,Target procurement/purchasing and departments with recurring vendor needs.
"Town of Smithfield, VA",Smithfield,VA,Core,GOV-BUY,Supply; Amplify; Validate,P0,https://www.linkedin.com/company/town-of-smithfield-va,Yes,TBD — capture current LinkedIn count,Procurement Director; Purchasing Manager; Buyer; Contracting Officer; Supplier Diversity/SWaM; Finance/Operations,0,0,0,,Not applicable,Direct public-sector issuer,0,Local municipal buyer and amplifier inside the RFxchange launch geography.
Smithfield Foods,Smithfield,VA,Core,PRIME,Supply; Teaming; Validate,P0,https://www.linkedin.com/company/smithfield-foods,Yes,TBD — capture current LinkedIn count,Supplier Diversity; Strategic Sourcing; Procurement; Subcontracts; Small Business Liaison; Business Development,0,0,0,,Not applicable,Corporate supplier / sourcing opportunities,0,"High-value anchor employer. Target procurement, strategic sourcing, supplier diversity, facilities, and operations."
Bronco Federal Credit Union,Franklin / Southampton,VA,Core,CAP,Resource; Capital; Acquire,P1,https://www.linkedin.com/company/bronco-federal-credit-union,Yes,TBD — capture current LinkedIn count,Business Lending; Commercial Banking; Community Development; SBA Lending; Member Business Services; Partnerships,0,0,0,,Not yet,Capital / financial resource,0,"Target Member Business Services, commercial lending, and community-development leadership."
YesSuffolk Economic Development,Suffolk,VA,Core,EDO,Acquire; Resource; Amplify; Validate,P0,https://www.linkedin.com/company/yes-suffolk-economic-development,Yes,TBD — capture current LinkedIn count,President/CEO; Economic Development Director; Business Development Manager; BRE Manager; Small Business Manager; Partnerships/Marketing,0,0,0,,Not yet,Ecosystem / referral,0,Immediate adjoining-market anchor; strong business attraction and existing-industry network.
"City of Suffolk, VA",Suffolk,VA,Core,GOV-BUY,Supply; Validate,P0,https://www.linkedin.com/company/city-of-suffolk-va,Yes,683 LinkedIn followers,Procurement Director; Purchasing Manager; Buyer; Contracting Officer; Supplier Diversity/SWaM; Finance/Operations,0,0,0,,Not applicable,Direct public-sector issuer,0,"Target procurement, public works, IT, facilities, and supplier-diversity contacts."
Suffolk Public Schools,Suffolk,VA,Core,EDU-BUY,Supply; Validate,P1,https://www.linkedin.com/company/sufvaschools,Yes,TBD — capture current LinkedIn count,Procurement Director; Purchasing; Finance; Facilities; IT Procurement; Contracts; Supplier Diversity/SWaM,0,0,0,,Not applicable,Direct education issuer,0,"Recurring purchasing across facilities, IT, transportation, food, training, supplies, and professional services."
"Franklin Southampton Economic Development, Inc.",Franklin / Southampton County,VA,Core,EDO,Acquire; Resource; Amplify; Validate,P0,https://www.linkedin.com/company/fsediva,Yes,TBD — capture current LinkedIn count,President/CEO; Economic Development Director; Business Development Manager; BRE Manager; Small Business Manager; Partnerships/Marketing,0,0,0,,Not yet,Ecosystem / referral,0,Western home-market bridge; serves both City of Franklin and Southampton County.
"City of Franklin, VA",Franklin,VA,Core,GOV-BUY,Supply; Amplify; Validate,P1,https://www.linkedin.com/company/city-of-franklin-va,Yes,TBD — capture current LinkedIn count,Procurement Director; Purchasing Manager; Buyer; Contracting Officer; Supplier Diversity/SWaM; Finance/Operations,0,0,0,,Not applicable,Direct public-sector issuer,0,"Target procurement, economic development, public works, IT, and finance."
Southampton County Public Schools,Courtland / Southampton County,VA,Core,EDU-BUY,Supply; Validate,P1,https://www.linkedin.com/company/southampton-county-public-schools,Yes,204 LinkedIn followers; 202 employees shown,Procurement Director; Purchasing; Finance; Facilities; IT Procurement; Contracts; Supplier Diversity/SWaM,0,0,0,,Not applicable,Direct education issuer,0,Good recurring institutional buyer for the western portion of the launch market.
Hampton Roads Alliance,Hampton Roads,VA,Regional Overlay,REGIONAL,Acquire; Amplify; Validate; Resource,P0,https://www.linkedin.com/company/hamptonroadsalliance,Yes,TBD — capture current LinkedIn count,President/CEO; Executive Director; Strategy; Partnerships; Business Development; Member/Stakeholder Engagement,0,0,0,,Not yet,Ecosystem / referral,0,Regional economic-development connector; high-value validator and partner.
Hampton Roads Chamber,Hampton Roads,VA,Regional Overlay,CHM,Acquire; Resource; Amplify,P0,https://www.linkedin.com/company/hampton-roads-chamber-of-commerce,Yes,TBD — capture current LinkedIn count,President/CEO; Membership Director; Programs Director; Business Development; Partnerships/Community Engagement,0,0,0,,Not yet,Ecosystem / referral,0,"Large regional business membership network. Prioritize membership, programs, and government affairs."
Hampton Roads Small Business Development Center,Hampton Roads,VA,Regional Overlay,SBR,Acquire; Resource; Amplify,P0,https://www.linkedin.com/company/hampton-roads-small-business-development-center,Yes,TBD — capture current LinkedIn count,Executive/Center Director; Business Advisor; Program Manager; Outreach; Partnerships,0,0,0,,Not yet,Ecosystem / referral,0,High-leverage resource provider with direct small-business advisory relationships.
